CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
USA;The United States of America;;;;;;;;;;;;;;
USA_presidential_dictatorship;The United States;;;;;;;;;;;;;;
USA_nationalist_dictatorship;The American State;;;;;;;;;;;;;;
USA_populist_dictatorship;Commonwealth of America;;;;;;;;;;;;;;
USA_socialist_democracy;Union of America;;;;;;;;;;;;;;
USA_theocracy;America;;;;;;;;;;;;;;
USA_democracy;The United States of America;;;;;;;;;;;;;;
CNG;Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_democracy;Democratic Republic of the Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_democracy1;Republic of the Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_nationalist_dictatorship;Zaire;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_populist_dictatorship;Zaire;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_proletarian_dictatorship;Zaire;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_presidential_dictatorship;Republic of the Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_theocracy;The Zairian State;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_hms_government;Congo Free State;Congo;Kongo;;El Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_colonial_government;Congo;Congo;Kongo;;El Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
rusyn;Rusyn;Rusyn;Rusyn;;Rusyn;;;;;;;;;x;;;;;;;;;;;;;;;;
nationalize_title;Nationalise all Foreign Companies in $COUNTRY$;Saisie des moyens de production !;Beschlagnahmt die Produktionsmittel!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
