CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
new_climate_deal_timer;Recently Hosted a Climate Change Summit;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_title;Propose a new Climate Change Summit;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_1_title;Propose a new Climate Change Summit;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_1_desc;We can propose a new Climate Change Summit to help stem the rising Global Temperatures and delay the onset on greater impacts from Global Warming. The success of the Conference will depend on your relations with the rest of the world and the ideologies of the different world governments.;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_desc;We can propose a new Climate Change Summit to help stem the rising Global Temperatures and delay the onset on greater impacts from Global Warming. The success of the Conference will depend on your relations with the rest of the world and the ideologies of the different world governments.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411120;A Climate Change Conference was held in$YEAR$ to dicuss the ongoing Climate Change Crisis. The Conference proposed significant increases in Carbon Dioxide emissions control and decreases in other forms of pollution. The event was sponsored by the United Nations and was attended by almost every nation in the world. The Conference also set out guidelines on how to tackle Climate Change in the coming decades. The Conference ended with the participating nations plegding to halt Climate Change though disagreements between how to acheive the aim continues.;;;;;;;;x;;;;;;;;;;;;;
join_ipcc_title;Join the Inter-Governmental Panel on Climate Change;;;;;;;;x;;;;;;;;;;;;;
join_ipcc_desc;The Intergovernmental Panel on Climate Change (IPCC) is a scientific and intergovernmental body under the auspices of the United Nations, set up at the request of member governments, dedicated to the task of providing the world with an objective, scientific view of climate change and its political and economic impacts. It was first established in 1988 by two United Nations organisations, the World Meteorological Organisation (WMO) and the United Nations Environment Programme (UNEP), and later endorsed by the United Nations General Assembly through Resolution 43/53. Membership of the IPCC is open to all members of the WMO and UNEP. The IPCC produces reports that support the United Nations Framework Convention on Climate Change (UNFCCC), which is the main international treaty on climate change. The ultimate objective of the UNFCCC is to "stabilise greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system". IPCC reports cover "the scientific, technical and socio-economic information relevant to understanding the scientific basis of risk of human-induced climate change, its potential impacts and options for adaptation and mitigation.";;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411100;Using equipment he had developed himself, Charles David (Dave) Keeling begins systematic measurements of atmospheric CO2 at Mauna Loa in Hawaii and in Antarctica. Within four years, the project - which continues today - provides the first unequivocal proof that CO2 concentrations are rising.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411101;Sweden first suggested to ECOSOC in 1968 the idea of having a UN conference to focus on human interactions with the environment. ECOSOC passed resolution 1346 supporting the idea. General Assembly Resolution 2398 in 1969 decided to convene a conference in 1972 and mandated a set of reports from the UN secretary-general suggesting that the conference focus on "stimulating and providing guidelines for action by national government and international organizations" facing environmental issues. First UN environment conference, in Stockholm. Climate change hardly registers on the agenda, which centres on issues such as chemical pollution, atomic bomb testing and whaling. The United Nations Environment Programme (Unep) is formed as a result.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411102;US scientist Wallace Broecker puts the term "global warming" into the public domain in the title of a scientific paper. Global warming and climate change are terms for the observed century-scale rise in the average temperature of the Earth's climate system and its related effects. Multiple lines of scientific evidence show that the climate system is warming. Although the increase of near-surface atmospheric temperature is the measure of global warming often reported in the popular press, most of the additional energy stored in the climate system since 1970 has gone into the oceans. The rest has melted ice and warmed the continents and atmosphere. Many of the observed changes since the 1950s are unpresidented over tens to thousands of years.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411103;The Intergovernmental Panel on Climate Change (IPCC) is a scientific and intergovernmental body under the auspices of the United Nations, set up at the request of member governments, dedicated to the task of providing the world with an objective, scientific view of climate change and its political and economic impacts. It was first established in 1988 by two United Nations organisations, the World Meteorological Organisation (WMO) and the United Nations Environment Programme (UNEP), and later endorsed by the United Nations General Assembly through Resolution 43/53. Membership of the IPCC is open to all members of the WMO and UNEP. The IPCC produces reports that support the United Nations Framework Convention on Climate Change (UNFCCC), which is the main international treaty on climate change. The ultimate objective of the UNFCCC is to "stabilise greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system". IPCC reports cover "the scientific, technical and socio-economic information relevant to understanding the scientific basis of risk of human-induced climate change, its potential impacts and options for adaptation and mitigation.";;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411104;The IPCC first assessment report was completed in 1990, and served as the basis of the UNFCCC. The executive summary of the WG I Summary for Policymakers report says they are certain that emissions resulting from human activities are substantially increasing the atmospheric concentrations of the greenhouse gases, resulting on average in an additional warming of the Earth's surface. They calculate with confidence that CO2 has been responsible for over half the enhanced greenhouse effect. They predict that under a "business as usual" (BAU) scenario, global mean temperature will increase by about 0.3°C per decade during the 21st century. They judge that global mean surface air temperature has increased by 0.3 to 0.6°C over the last 100 years, broadly consistent with prediction of climate models, but also of the same magnitude as natural climate variability. The unequivocal detection of the enhanced greenhouse effect is not likely for a decade or more.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411105;The Montreal Protocol on Substances that Deplete the Ozone Layer (a protocol to the Vienna Convention for the Protection of the Ozone Layer) is an international treaty designed to protect the ozone layer by phasing out the production of numerous substances that are responsible for ozone depletion. The treaty is structured around several groups of halogenated hydrocarbons that deplete stratospheric ozone. All of the ozone depleting substances controlled by the Montreal Protocol contain either chlorine or bromine (substances containing only fluorine do not harm the ozone layer). Some ozone-depleting substances (ODSs) are not yet controlled by the Montreal Protocol, including nitrous oxide (N2O). For each group of ODSs, the treaty provides a timetable on which the production of those substances must be shot out and eventually eliminated.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411106;The Earth Summit in Rio de Janeiro was unprecedented for a UN conference, in terms of both its size and the scope of its concerns. Twenty years after the first global environment conference, the UN sought to help Governments rethink economic development and find ways to halt the destruction of irreplaceable natural resources and pollution of the planet. Hundreds of thousands of people from all walks of life were drawn into the Rio process. They persuaded their leaders to go to Rio and join other nations in making the difficult decisions needed to ensure a healthy planet for generations to come. The Summit’s message — that nothing less than a transformation of our attitudes and behaviour would bring about the necessary changes — was transmitted by almost 10,000 on-site journalists and heard by millions around the world. The message reflected the complexity of the problems facing us, that poverty as well as excessive consumption by affluent populations place damaging stress on the environment. Governments recognized the need to redirect international and national plans and policies to ensure that all economic decisions fully took into account any environmental impact. And the message has produced results, making eco-efficiency a guiding principle for business and governments alike.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411108; The Kyoto Protocol is an international agreement linked to the United Nations Framework Convention on Climate Change, which commits its Parties by setting internationally binding emission reduction targets. Recognising that developed countries are principally responsible for the current high levels of GHG emissions in the atmosphere as a result of more than 150 years of industrial activity, the Protocol places a heavier burden on developed nations under the principle of "common but differentiated responsibilities." The Kyoto Protocol was adopted in Kyoto, Japan, on 11 December 1997 and entered into force on 16 February 2005. The detailed rules for the implementation of the Protocol were adopted at COP 7 in Marrakesh, Morocco, in 2001, and are referred to as the "Marrakesh Accords." Its first commitment period started in 2008 and ended in 2012.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411108;The Kyoto Protocol is an international agreement linked to the United Nations Framework Convention on Climate Change, which commits its Parties by setting internationally binding emission reduction targets. Recognising that developed countries are principally responsible for the current high levels of GHG emissions in the atmosphere as a result of more than 150 years of industrial activity, the Protocol places a heavier burden on developed nations under the principle of "common but differentiated responsibilities." The Kyoto Protocol was adopted in Kyoto, Japan, on 11 December 1997 and entered into force on 16 February 2005. The detailed rules for the implementation of the Protocol were adopted at COP 7 in Marrakesh, Morocco, in 2001, and are referred to as the "Marrakesh Accords." Its first commitment period started in 2008 and ended in 2012.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411109;Strong El Nino conditions combine with global warming to produce the warmest year on record. The average global temperature reached 0.52C above the mean for the period 1961-90 (a commonly used baseline).;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411110;IPCC Third Assessment Report finds "new and stronger evidence" that humanity's emissions of greenhouse gases are the main cause of the warming seen in the second half of the 20th Century.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411111;The Copenhagen Accord contained several key elements on which there was strong convergence of the views of governments. This included the long-term goal of limiting the maximum global average temperature increase to no more than 2 degrees Celsius above pre-industrial levels, subject to a review in 2015. There was, however, no agreement on how to do this in practical terms. It also included a reference to consider limiting the temperature increase to below 1.5 degrees - a key demand made by vulnerable developing countries.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411115; The Paris Agreement builds upon the Convention and – for the first time – brings all nations into a common cause to undertake ambitious efforts to combat climate change and adapt to its effects, with enhanced support to assist developing countries to do so. As such, it charts a new course in the global climate effort. The Paris Agreement’s central aim is to strengthen the global response to the threat of climate change by keeping a global temperature rise this century well below 2 degrees Celsius above pre-industrial levels and to pursue efforts to limit the temperature increase even further to 1.5 degrees Celsius. Additionally, the agreement aims to strengthen the ability of countries to deal with the impacts of climate change. To reach these ambitious goals, appropriate financial flows, a new technology framework and an enhanced capacity building framework will be put in place, thus supporting action by developing countries and the most vulnerable countries, in line with their own national objectives. The Agreement also provides for enhanced transparency of action and support through a more robust transparency framework.;;;;;;;;x;;;;;;;;;;;;;
four_point_five_degree;4.5°C Global Average Temperature Deviation;;;;;;;;x;;;;;;;;;;;;;
three_degree;3.0°C Global Average Temperature Deviation;;;;;;;;x;;;;;;;;;;;;;
two_degree;2.0°C Global Average Temperature Deviation;;;;;;;;x;;;;;;;;;;;;;
one_degree;1.0°C Global Average Temperature Deviation;;;;;;;;x;;;;;;;;;;;;;
paris_climate_deal;Paris Climate Deal Signatory;;;;;;;;x;;;;;;;;;;;;;
fast_start_finance;Green Climate Fund Contributor;;;;;;;;x;;;;;;;;;;;;;
copenhagen_accord;Copagenhagen Accord Signatory;;;;;;;;x;;;;;;;;;;;;;
copenhagen_accord;Copagenhagen Accord Signatory;;;;;;;;x;;;;;;;;;;;;;
earth_summit;Member of the United Framework Convention on Climate Change;;;;;;;;x;;;;;;;;;;;;;
montreal_protocol;Montreal Protocol Signatory;;;;;;;;x;;;;;;;;;;;;;
kyoto_protocol;Ratified Kyoto Protocol;;;;;;;;x;;;;;;;;;;;;;
ipcc_member;Inter-Governmental Panel on Climate Change Member;;;;;;;;x;;;;;;;;;;;;;
montreal_protocol_title;Sign the Montreal Protocol;;;;;;;;x;;;;;;;;;;;;;
montreal_protocol_desc;The Montreal Protocol on Substances that Deplete the Ozone Layer (a protocol to the Vienna Convention for the Protection of the Ozone Layer) is an international treaty designed to protect the ozone layer by phasing out the production of numerous substances that are responsible for ozone depletion. The treaty is structured around several groups of halogenated hydrocarbons that deplete stratospheric ozone. All of the ozone depleting substances controlled by the Montreal Protocol contain either chlorine or bromine (substances containing only fluorine do not harm the ozone layer). Some ozone-depleting substances (ODSs) are not yet controlled by the Montreal Protocol, including nitrous oxide (N2O). For each group of ODSs, the treaty provides a timetable on which the production of those substances must be shot out and eventually eliminated.;;;;;;;;x;;;;;;;;;;;;;
kyoto_protocol_title;Ratify the Kyoto Protocol;;;;;;;;x;;;;;;;;;;;;;
kyoto_protocol_desc;The Kyoto Protocol is an international treaty which extends the 1992 United Nations Framework Convention on Climate Change (UNFCCC) that commits State Parties to reduce greenhouse gas emissions, based on the premise that (a) global warming exists and (b) human-made CO2 emissions have caused it. The Kyoto Protocol was adopted in Kyoto, Japan, on 11 December 1997 and entered into force on 16 February 2005. There are currently 192 parties (Canada withdrew effective December 2012) to the Protocol. The main goal of the Kyoto Protocol is to control emissions of the main anthropogenic (i.e., human-emitted) greenhouse gases (GHGs) in ways that reflect underlying national differences in GHG emissions, wealth, and capacity to make the reductions.;;;;;;;;x;;;;;;;;;;;;;
fast_start_finance_title;Participate in the Green Climate Fund Scheme;;;;;;;;x;;;;;;;;;;;;;
fast_start_finance_desc;The Green Climate Fund (GCF) is a fund within the framework of the UNFCCC founded as a mechanism to assist developing countries in adaptation and mitigation practices to counter climate change. The GCF is based in the new Songdo district of Incheon, South Korea. It is governed by a Board of 24 members and initially supported by a Secretariat.;;;;;;;;x;;;;;;;;;;;;;
paris_climate_deal_title;Ratify the Paris Climate Deal;;;;;;;;x;;;;;;;;;;;;;
paris_climate_deal_desc;The Paris Agreement is an agreement within the United Nations Framework Convention on Climate Change (UNFCCC) dealing with greenhouse gases emissions mitigation, adaptation and finance starting in the year 2020. The aim of the deal is to hold the increase in the global average temperature to well below 2°C above pre-industrial levels and to pursue efforts to limit the temperature increase to 1.5°C above pre-industrial levels, recognising that this would significantly reduce the risks and impacts of climate change;;;;;;;;x;;;;;;;;;;;;;
